token,label,token_length
In,O,2
this,O,4
article,O,7
we,O,2
discuss,O,7
several,O,7
metrics,B,7
of,I,2
coherence,I,9
defined,O,7
using,O,5
centering,B,9
theory,I,6
and,O,3
investigate,O,11
the,O,3
usefulness,O,10
of,O,2
such,O,4
metrics,B,7
for,O,3
information,O,11
ordering,O,8
in,O,2
automatic,B,9
text,I,4
generation,I,10
.,O,1
We,O,2
estimate,O,8
empirically,O,11
which,O,5
is,O,2
the,O,3
most,O,4
promising,O,9
metric,B,6
and,O,3
how,O,3
useful,O,6
this,O,4
metric,B,6
is,O,2
using,O,5
a,O,1
general,O,7
methodology,O,11
applied,O,7
on,O,2
several,O,7
corpora,B,7
.,O,1
Our,O,3
main,O,4
result,O,6
is,O,2
that,O,4
the,O,3
simplest,O,8
metric,O,6
(,O,1
which,O,5
relies,O,6
exclusively,O,11
on,O,2
NOCB,B,4
transitions,I,11
),O,1
sets,O,4
a,O,1
robust,O,6
baseline,B,8
that,O,4
cannot,O,6
be,O,2
outperformed,O,12
by,O,2
other,O,5
metrics,B,7
which,O,5
make,O,4
use,O,3
of,O,2
additional,O,10
centering,B,9
based,I,5
features,I,8
.,O,1
This,O,4
baseline,O,8
can,O,3
be,O,2
used,O,4
for,O,3
the,O,3
development,O,11
of,O,2
both,O,4
text,B,4
to,I,2
text,I,4
and,O,3
concept,B,7
to,I,2
text,I,4
generation,I,10
systems,I,7
Current,O,7
machine,B,7
translation,I,11
(,O,1
MT,B,2
),O,1
systems,O,7
are,O,3
still,O,5
not,O,3
perfect,O,7
.,O,1
In,O,2
practice,O,8
",",O,1
the,O,3
output,B,6
from,O,4
these,O,5
systems,O,7
needs,O,5
to,O,2
be,O,2
edited,O,6
to,O,2
correct,O,7
errors,B,6
.,O,1
A,O,1
way,O,3
of,O,2
increasing,O,10
the,O,3
productivity,O,12
of,O,2
the,O,3
whole,O,5
translation,B,11
process,I,7
(,O,1
MT,B,2
plus,O,4
human,O,5
work,O,4
),O,1
is,O,2
to,O,2
incorporate,O,11
the,O,3
human,O,5
correction,O,10
activities,O,10
within,O,6
the,O,3
translation,B,11
process,I,7
itself,O,6
",",O,1
thereby,O,7
shifting,B,8
the,O,3
MT,B,2
paradigm,I,8
to,O,2
that,O,4
of,O,2
computer,B,8
assisted,I,8
translation,I,11
.,O,1
This,O,4
model,B,5
entails,O,7
an,O,2
iterative,B,9
process,I,7
in,O,2
which,O,5
the,O,3
human,B,5
translator,I,10
activity,I,8
is,O,2
included,O,8
in,O,2
the,O,3
loop,O,4
:,O,1
In,O,2
each,O,4
iteration,B,9
",",O,1
a,O,1
prefix,B,6
of,O,2
the,O,3
translation,O,11
is,O,2
validated,B,9
(,O,1
accepted,B,8
or,O,2
amended,B,7
),O,1
by,O,2
the,O,3
human,O,5
and,O,3
the,O,3
system,O,6
computes,O,8
its,O,3
best,O,4
(,O,1
or,O,2
n,O,1
best,O,4
),O,1
translation,B,11
suffix,I,6
hypothesis,I,10
to,O,2
complete,O,8
this,O,4
prefix,B,6
.,O,1
A,O,1
successful,O,10
framework,B,9
for,O,3
MT,B,2
is,O,2
the,O,3
so,O,2
called,O,6
statistical,O,11
(,O,1
or,O,2
pattern,O,7
recognition,O,11
),O,1
framework,B,9
.,O,1
Interestingly,O,13
",",O,1
within,O,6
this,O,4
framework,B,9
",",O,1
the,O,3
adaptation,O,10
of,O,2
MT,B,2
systems,I,7
to,O,2
the,O,3
interactive,O,11
scenario,O,8
affects,O,7
mainly,O,6
the,O,3
search,O,6
process,O,7
",",O,1
allowing,O,8
a,O,1
great,O,5
reuse,O,5
of,O,2
successful,O,10
techniques,I,10
and,O,3
models,B,6
.,O,1
In,O,2
this,O,4
article,O,7
",",O,1
alignment,B,9
templates,I,9
",",O,1
phrase,B,6
based,I,5
models,I,6
",",O,1
and,O,3
stochastic,B,10
finite,I,6
state,I,5
transducers,I,11
are,O,3
used,O,4
to,O,2
develop,O,7
computer,B,8
assisted,I,8
translation,I,11
systems,I,7
.,O,1
These,O,5
systems,O,7
were,O,4
assessed,O,8
in,O,2
a,O,1
European,O,8
project,O,7
(,O,1
Trans,B,5
Type2,I,5
),O,1
in,O,2
two,O,3
real,O,4
tasks,O,5
:,O,1
The,O,3
translation,O,11
of,O,2
printer,O,7
manuals,O,7
;,O,1
manuals,O,7
and,O,3
the,O,3
translation,O,11
of,O,2
the,O,3
Bulletin,O,8
of,O,2
the,O,3
European,O,8
Union,O,5
.,O,1
In,O,2
each,O,4
task,O,4
",",O,1
the,O,3
following,O,9
three,O,5
pairs,O,5
of,O,2
languages,O,9
were,O,4
involved,O,8
(,O,1
in,O,2
both,O,4
translation,O,11
directions,O,10
),O,1
:,O,1
English,O,7
Spanish,O,7
",",O,1
English,O,7
German,O,6
",",O,1
and,O,3
English,O,7
French,O,6
.,O,1
Given,O,5
a,O,1
constraint,B,10
set,I,3
with,O,4
k,O,1
constraints,B,11
in,O,2
the,O,3
framework,B,9
of,I,2
Optimality,I,10
Theory,I,6
(,O,1
OT,B,2
),O,1
",",O,1
what,O,4
is,O,2
its,O,3
capacity,O,8
as,O,2
a,O,1
classification,B,14
scheme,I,6
for,O,3
linguistic,B,10
data,I,4
?,O,1
One,O,3
useful,O,6
measure,B,7
of,O,2
this,O,4
capacity,O,8
is,O,2
the,O,3
size,O,4
of,O,2
the,O,3
largest,O,7
data,O,4
set,O,3
of,O,2
which,O,5
each,O,4
subset,B,6
is,O,2
consistent,O,10
with,O,4
a,O,1
different,O,9
grammar,B,7
hypothesis,I,10
.,O,1
This,O,4
measure,B,7
is,O,2
known,O,5
as,O,2
the,O,3
Vapnik,B,6
Chervonenkis,I,12
dimension,I,9
(,O,1
VCD,B,3
),O,1
and,O,3
is,O,2
a,O,1
standard,O,8
complexity,B,10
measure,I,7
for,O,3
concept,B,7
classes,I,7
in,O,2
computational,B,13
learnability,I,12
theory,I,6
.,O,1
In,O,2
this,O,4
work,O,4
",",O,1
I,O,1
use,O,3
the,O,3
three,B,5
valued,I,6
logic,I,5
of,I,2
Elementary,I,10
Ranking,I,7
Conditions,I,10
to,O,2
show,O,4
that,O,4
the,O,3
VCD,B,3
of,O,2
Optimality,B,10
Theory,I,6
with,O,4
k,O,1
constraints,B,11
is,O,2
k,O,1
1,O,1
.,O,1
Analysis,O,8
of,O,2
OT,B,2
in,O,2
terms,O,5
of,O,2
the,O,3
VCD,B,3
establishes,O,11
that,O,4
the,O,3
complexity,O,10
of,O,2
OT,B,2
is,O,2
a,O,1
well,B,4
behaved,I,7
function,I,8
of,O,2
k,B,1
and,O,3
that,O,4
the,O,3
â,O,3
hardness,O,8
â,O,3
of,O,2
learning,O,8
in,O,2
OT,B,2
is,O,2
linear,B,6
in,O,2
k,O,1
for,O,3
a,O,1
variety,O,7
of,O,2
frameworks,B,10
that,O,4
employ,O,6
probabilistic,B,13
definitions,I,11
of,O,2
learnability,B,12
.,O,1
The,O,3
article,O,7
describes,O,9
a,O,1
pilot,O,5
implementation,O,14
of,O,2
a,O,1
grammar,B,7
containing,O,10
different,O,9
types,O,5
of,O,2
locative,B,8
PPs,I,3
.,O,1
In,O,2
particular,O,10
",",O,1
we,O,2
investigate,O,11
the,O,3
distinction,O,11
between,O,7
static,B,6
and,O,3
directional,B,11
locatives,I,9
",",O,1
and,O,3
between,O,7
different,O,9
types,O,5
of,O,2
directional,B,11
locatives,I,9
.,O,1
Locatives,B,9
may,O,3
act,O,3
as,O,2
modifiers,B,9
as,O,2
well,O,4
as,O,2
referring,B,9
expressions,I,11
depending,O,9
on,O,2
the,O,3
syntactic,B,9
context,I,7
.,O,1
We,O,2
handle,O,6
this,O,4
with,O,4
a,O,1
single,O,6
lexical,B,7
entry,I,5
.,O,1
The,O,3
implementation,O,14
is,O,2
of,O,2
Norwegian,O,9
locatives,B,9
",",O,1
but,O,3
English,O,7
locatives,B,9
are,O,3
both,O,4
discussed,O,9
and,O,3
compared,O,8
to,O,2
Norwegian,O,9
locatives,B,9
.,O,1
The,O,3
semantic,B,8
analysis,I,8
is,O,2
based,O,5
on,O,2
a,O,1
proposal,O,8
by,O,2
Markus,O,6
Kracht,O,6
(,O,1
2OO2,O,4
),O,1
",",O,1
and,O,3
we,O,2
show,O,4
how,O,3
this,O,4
analysis,O,8
can,O,3
be,O,2
incorporated,O,12
into,O,4
Minimal,B,7
Recursion,I,9
Semantics,I,9
(,O,1
MRS,B,3
),O,1
(,O,1
Copestake,O,9
et,O,2
al,O,2
.,O,1
2OO5,O,4
),O,1
.,O,1
We,O,2
discuss,O,7
how,O,3
the,O,3
resulting,O,9
system,O,6
may,O,3
be,O,2
applied,O,7
in,O,2
a,O,1
transfer,B,8
based,I,5
machine,I,7
translation,I,11
system,I,6
",",O,1
and,O,3
how,O,3
we,O,2
can,O,3
map,B,3
from,O,4
a,O,1
shallow,O,7
MRS,B,3
representation,I,14
to,O,2
a,O,1
deeper,B,6
semantic,B,8
