Against 	 O
the 	 O
backdrop 	 O
of 	 O
the 	 O
ever 	 O
- 	 O
improving 	 O
Natural 	 B
Language 	 I
Inference 	 I
( 	 O
NLI 	 B
) 	 O
models 	 B
, 	 O
recent 	 O
efforts 	 O
have 	 O
focused 	 O
on 	 O
the 	 O
suitability 	 O
of 	 O
the 	 O
current 	 B
NLI 	 I
datasets 	 O
and 	 O
on 	 O
the 	 O
feasibility 	 O
of 	 O
the 	 O
NLI 	 B
task 	 O
as 	 O
it 	 O
is 	 O
currently 	 O
approached 	 O
. 	 O
Many 	 O
of 	 O
the 	 O
recent 	 O
studies 	 O
have 	 O
exposed 	 O
the 	 O
inherent 	 O
human 	 O
disagreements 	 O
of 	 O
the 	 B
inference 	 I
task 	 O
and 	 O
have 	 O
proposed 	 O
a 	 O
shift 	 O
from 	 O
categorical 	 O
labels 	 O
to 	 O
human 	 O
subjective 	 O
probability 	 O
assessments 	 O
, 	 O
capturing 	 O
human 	 O
uncertainty 	 O
. 	 O
In 	 O
this 	 O
work 	 O
, 	 O
we 	 O
show 	 O
how 	 O
neither 	 O
the 	 O
current 	 O
task 	 O
formulation 	 O
nor 	 O
the 	 O
proposed 	 O
uncertainty 	 O
gradient 	 O
are 	 O
entirely 	 O
suitable 	 O
for 	 O
solving 	 O
the 	 O
NLI 	 B
challenges 	 O
. 	 O
Instead 	 O
, 	 O
we 	 O
propose 	 O
an 	 O
ordered 	 O
sense 	 O
space 	 O
annotation 	 B
, 	 O
which 	 O
distinguishes 	 O
between 	 O
logical 	 O
and 	 O
common 	 O
- 	 O
sense 	 O
inference 	 B
. 	 O
One 	 O
end 	 O
of 	 O
the 	 O
space 	 O
captures 	 O
non 	 O
- 	 O
sensical 	 O
inferences 	 O
, 	 O
while 	 O
the 	 O
other 	 O
end 	 O
represents 	 O
strictly 	 O
logical 	 O
scenarios 	 O
. 	 O
In 	 O
the 	 O
middle 	 O
of 	 O
the 	 O
space 	 O
, 	 O
we 	 O
find 	 O
a 	 O
continuum 	 O
of 	 O
common 	 O
- 	 O
sense 	 O
, 	 O
namely 	 O
, 	 O
the 	 O
subjective 	 O
and 	 O
graded 	 O
opinion 	 O
of 	 O
a 	 O
person 	 O
on 	 O
the 	 O
street 	 O
. 	 O
To 	 O
arrive 	 O
at 	 O
the 	 O
proposed 	 O
annotation 	 B
scheme 	 O
, 	 O
we 	 O
perform 	 O
a 	 O
careful 	 O
investigation 	 O
of 	 O
the 	 O
SICK 	 B
corpus 	 O
and 	 O
we 	 O
create 	 O
a 	 O
taxonomy 	 O
of 	 O
annotation 	 B
issues 	 O
and 	 O
guidelines 	 O
. 	 O
We 	 O
re 	 O
- 	 O
annotate 	 B
the 	 O
corpus 	 O
with 	 O
the 	 O
proposed 	 O
annotation 	 B
scheme 	 O
, 	 O
utilizing 	 O
four 	 O
symbolic 	 O
inference 	 B
systems 	 O
, 	 O
and 	 O
then 	 O
perform 	 O
a 	 O
thorough 	 O
evaluation 	 O
of 	 O
the 	 O
scheme 	 O
by 	 O
fine 	 O
- 	 O
tuning 	 B
and 	 O
testing 	 O
commonly 	 O
used 	 O
pre 	 O
- 	 O
trained 	 B
language 	 I
models 	 B
on 	 O
the 	 O
re 	 O
- 	 O
annotated 	 B
SICK 	 I
within 	 O
various 	 O
settings 	 O
. 	 O
We 	 O
also 	 O
pioneer 	 O
a 	 O
crowd 	 B
annotation 	 I
of 	 O
a 	 O
small 	 O
portion 	 O
of 	 O
the 	 O
MultiNLI 	 B
corpus 	 O
, 	 O
showcasing 	 O
that 	 O
it 	 O
is 	 O
possible 	 O
to 	 O
adapt 	 O
our 	 O
scheme 	 B
for 	 O
annotation 	 I
by 	 O
non 	 O
- 	 O
experts 	 O
on 	 O
another 	 O
NLI 	 B
corpus 	 O
. 	 O
Our 	 O
work 	 O
shows 	 O
the 	 O
efficiency 	 O
and 	 O
benefits 	 O
of 	 O
the 	 O
proposed 	 O
mechanism 	 O
and 	 O
opens 	 O
the 	 O
way 	 O
for 	 O
a 	 O
careful 	 O
NLI 	 B
task 	 O
refinement 	 O
. 	 O
