Massively 	 O
multilingual 	 B
models 	 O
such 	 O
as 	 O
mBERT 	 B
and 	 O
XLM 	 B
- 	 I
R 	 I
are 	 O
increasingly 	 O
valued 	 O
in 	 O
Natural 	 B
Language 	 I
Processing 	 I
research 	 O
and 	 O
applications 	 O
, 	 O
due 	 O
to 	 O
their 	 O
ability 	 O
to 	 O
tackle 	 O
the 	 O
uneven 	 O
distribution 	 O
of 	 O
resources 	 B
available 	 O
for 	 O
different 	 O
languages 	 O
. 	 O
The 	 O
models 	 O
’ 	 O
ability 	 O
to 	 O
process 	 O
multiple 	 O
languages 	 O
relying 	 O
on 	 O
a 	 O
shared 	 O
set 	 O
of 	 O
parameters 	 B
raises 	 O
the 	 O
question 	 O
of 	 O
whether 	 O
the 	 O
grammatical 	 B
knowledge 	 O
they 	 O
extracted 	 O
during 	 O
pre 	 B
- 	 I
training 	 I
can 	 O
be 	 O
considered 	 O
as 	 O
a 	 O
data 	 B
- 	 I
driven 	 I
cross 	 B
- 	 I
lingual 	 I
grammar 	 O
. 	 O
The 	 O
present 	 O
work 	 O
studies 	 O
the 	 O
inner 	 O
workings 	 O
of 	 O
mBERT 	 B
and 	 O
XLM 	 B
- 	 I
R 	 I
in 	 O
order 	 O
to 	 O
test 	 O
the 	 O
cross 	 B
- 	 I
lingual 	 I
consistency 	 O
of 	 O
the 	 O
individual 	 O
neural 	 B
units 	 O
that 	 O
respond 	 O
to 	 O
a 	 O
precise 	 O
syntactic 	 B
phenomenon 	 O
, 	 O
that 	 O
is 	 O
, 	 O
number 	 B
agreement 	 I
, 	 O
in 	 O
five 	 O
languages 	 O
( 	 O
English 	 O
, 	 O
German 	 O
, 	 O
French 	 O
, 	 O
Hebrew 	 O
, 	 O
Russian 	 O
) 	 O
. 	 O
We 	 O
found 	 O
that 	 O
there 	 O
is 	 O
a 	 O
significant 	 O
overlap 	 O
in 	 O
the 	 O
latent 	 B
dimensions 	 O
that 	 O
encode 	 O
agreement 	 B
across 	 O
the 	 O
languages 	 O
we 	 O
considered 	 O
. 	 O
This 	 O
overlap 	 O
is 	 O
larger 	 O
( 	 O
a 	 O
) 	 O
for 	 O
long- 	 B
distance 	 I
agreement 	 I
and 	 O
( 	 O
b 	 O
) 	 O
when 	 O
considering 	 O
XLM 	 B
- 	 I
R 	 I
as 	 O
compared 	 O
to 	 O
mBERT 	 B
, 	 O
and 	 O
peaks 	 O
in 	 O
the 	 O
intermediate 	 B
layers 	 O
of 	 O
the 	 O
network 	 B
. 	 O
We 	 O
further 	 O
show 	 O
that 	 O
a 	 O
small 	 O
set 	 O
of 	 O
syntax 	 B
- 	 I
sensitive 	 I
neurons 	 O
can 	 O
capture 	 O
agreement 	 B
violations 	 O
across 	 O
languages 	 O
; 	 O
however 	 O
, 	 O
their 	 O
contribution 	 O
is 	 O
not 	 O
decisive 	 O
in 	 O
agreement 	 B
processing 	 O
. 	 O
