The 	 O
evolution 	 O
of 	 O
the 	 O
vocabulary 	 O
of 	 O
a 	 O
language 	 O
is 	 O
characterized 	 O
by 	 O
two 	 O
different 	 O
random 	 O
processes 	 O
: 	 O
abrupt 	 O
lexical 	 B
replacements 	 O
, 	 O
when 	 O
a 	 O
complete 	 O
new 	 O
word 	 B
emerges 	 O
to 	 O
represent 	 O
a 	 O
given 	 O
concept 	 O
( 	 O
which 	 O
was 	 O
at 	 O
the 	 O
basis 	 O
of 	 O
the 	 O
Swadesh 	 B
foundation 	 O
of 	 O
glottochronology 	 B
in 	 O
the 	 O
1950s 	 O
) 	 O
, 	 O
and 	 O
gradual 	 B
lexical 	 B
modifications 	 O
that 	 O
progressively 	 O
alter 	 O
words 	 B
over 	 O
the 	 O
centuries 	 O
, 	 O
considered 	 O
here 	 O
in 	 O
detail 	 O
for 	 O
the 	 O
first 	 O
time 	 O
. 	 O
The 	 O
main 	 O
discriminant 	 O
between 	 O
these 	 O
two 	 O
processes 	 O
is 	 O
their 	 O
impact 	 O
on 	 O
cognacy 	 O
within 	 O
a 	 O
family 	 O
of 	 O
languages 	 O
or 	 O
dialects 	 O
, 	 O
since 	 O
the 	 O
former 	 O
modifies 	 O
the 	 O
subsets 	 O
of 	 O
cognate 	 B
terms 	 O
and 	 O
the 	 O
latter 	 O
does 	 O
not 	 O
. 	 O
The 	 O
automated 	 B
cognate 	 B
detection 	 O
, 	 O
which 	 O
is 	 O
here 	 O
performed 	 O
following 	 O
a 	 O
new 	 O
approach 	 O
inspired 	 O
by 	 O
graph 	 B
theory 	 B
, 	 O
is 	 O
a 	 O
key 	 O
preliminary 	 O
step 	 O
that 	 O
allows 	 O
us 	 O
to 	 O
later 	 O
measure 	 O
the 	 O
effects 	 O
of 	 O
the 	 O
slow 	 O
modification 	 O
process 	 O
. 	 O
We 	 O
test 	 O
our 	 O
dual 	 O
approach 	 O
on 	 O
the 	 O
family 	 O
of 	 O
Malagasy 	 O
dialects 	 O
using 	 O
a 	 O
cladistic 	 B
analysis 	 O
, 	 O
which 	 O
provides 	 O
strong 	 O
evidence 	 O
that 	 O
lexical 	 B
replacements 	 O
and 	 O
gradual 	 B
lexical 	 B
modifications 	 O
are 	 O
two 	 O
random 	 O
processes 	 O
that 	 O
separately 	 O
drive 	 O
the 	 O
evolution 	 O
of 	 O
languages 	 O
. 	 O
